kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
10848459,K00754.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,1.736952453,2.63E-7,-2.63E-7,170.307565,1.15E-4,-1.15E-4,1.276,0.115,-0.092,2.40641,0.00537,-0.00537,8079.2,12.8,-12.8,33.46,8.5,-2.83,1395.0,,,891.96,668.95,-230.35,505.6,1,q1_q17_dr25_tce,5805.0,157.0,-174.0,4.564,0.053,-0.168,0.791,0.201,-0.067,285.53461,48.28521,15.597
6721123,K00114.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,7.36178958,2.128E-5,-2.128E-5,132.25053,0.00253,-0.00253,1.169,7.133,-0.044,5.022,0.136,-0.136,233.7,5.8,-5.8,39.21,6.45,-9.67,1342.0,,,767.22,349.28,-365.49,47.7,1,q1_q17_dr25_tce,6227.0,111.0,-124.0,3.986,0.182,-0.098,1.958,0.322,-0.483,298.86435,42.151569,12.66
10419211,K00742.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,11.521446064,1.98E-6,-1.98E-6,170.839688,1.31E-4,-1.31E-4,2.483,2.851,-0.673,3.6399,0.0114,-0.0114,17984.0,31.9,-31.9,150.51,39.76,-13.31,753.0,,,75.88,58.89,-19.99,622.1,1,q1_q17_dr25_tce,5795.0,155.0,-172.0,4.554,0.033,-0.176,0.848,0.224,-0.075,297.07993,47.597401,15.472
10464078,K00743.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,19.40393776,2.068E-5,-2.068E-5,172.484253,8.42E-4,-8.42E-4,0.804,0.007,-0.005,12.2155,0.0598,-0.0598,8918.7,53.3,-53.3,7.18,0.76,-0.68,523.0,,,17.69,6.66,-4.88,214.7,1,q1_q17_dr25_tce,5043.0,151.0,-151.0,4.591,0.072,-0.048,0.68,0.072,-0.065,289.25821,47.635319,15.487
10480982,K00744.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,19.221388942,1.123E-6,-1.123E-6,184.5521637,4.5E-5,-4.5E-5,1.065,0.031,-0.034,4.79843,0.00235,-0.00235,74284.0,21.9,-21.9,49.29,16.03,-5.0,698.0,,,55.97,54.55,-16.4,2317.0,1,q1_q17_dr25_tce,6117.0,182.0,-200.0,4.496,0.052,-0.208,0.947,0.308,-0.096,295.81454,47.69035,15.341
10485250,K00745.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,16.46983774,1.361E-5,-1.361E-5,180.881761,6.23E-4,-6.23E-4,0.292,0.118,-0.101,9.4378,0.06,-0.06,10479.0,39.9,-39.9,7.94,0.89,-0.89,595.0,,,29.61,12.01,-8.91,303.4,1,q1_q17_dr25_tce,5152.0,168.0,-153.0,4.517,0.088,-0.072,0.786,0.088,-0.088,297.15442,47.668701,15.788
10583180,K00748.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,2.696370652,7.534E-6,-7.534E-6,170.73769,0.00234,-0.00234,0.044,0.36,-0.044,3.6129,0.0686,-0.0686,397.9,9.5,-9.5,1.58,0.13,-0.16,1066.0,,,305.34,96.64,-86.33,48.2,1,q1_q17_dr25_tce,4989.0,149.0,-149.0,4.504,0.09,-0.06,0.819,0.067,-0.082,283.76547,47.804298,15.269
2306756,K00113.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,386.6030528,1.369E-4,-1.369E-4,166.342079,2.99E-4,-2.99E-4,0.9765,0.0497,-0.0268,6.8057,0.0184,-0.0184,24927.0,45.8,-45.8,41.5,1.68,-1.68,297.0,,,1.84,0.26,-0.24,994.0,1,q1_q16_tce,5543.0,79.0,-79.0,4.081,0.014,-0.014,1.58,0.064,-0.064,292.27374,37.671558,12.394
11463211,K00770.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,0,1.50635409,4.7E-7,-4.7E-7,170.998064,2.46E-4,-2.46E-4,0.86,0.042,-0.125,1.5155,0.0483,-0.0483,2211.7,18.3,-18.3,4.53,1.01,-0.44,1452.0,,,1054.12,703.1,-292.26,181.1,1,q1_q17_dr25_tce,5714.0,155.0,-172.0,4.563,0.04,-0.16,0.831,0.186,-0.08,295.66522,49.351009,15.525
11465813,K00771.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,670.645531,0.001237,-0.001237,209.04355,0.00157,-0.00157,0.701,0.004,-0.005,53.412,0.131,-0.131,18091.0,33.5,-33.5,14.14,2.13,-0.71,196.0,,,0.35,0.15,-0.06,642.7,1,q1_q17_dr25_tce,5520.0,100.0,-111.0,4.466,0.032,-0.12,0.983,0.148,-0.049,296.69861,49.316479,15.207
11493732,K00772.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,61.2563628,1.56E-4,-1.56E-4,173.83826,0.00209,-0.00209,1.248,6.912,-0.067,7.633,0.105,-0.105,5123.3,70.6,-70.6,39.87,12.79,-5.48,505.0,,,15.43,14.85,-5.51,85.3,1,q1_q17_dr25_tce,6144.0,184.0,-220.0,4.402,0.072,-0.217,1.091,0.35,-0.15,283.72592,49.479519,15.25
11152159,K00761.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,2.701287801,5.634E-6,-5.634E-6,170.69579,0.00164,-0.00164,1.016,3.967,-0.059,3.3827,0.0892,-0.0892,860.4,20.9,-20.9,6.54,1.64,-0.75,1222.0,,,527.81,411.33,-166.35,48.3,1,q1_q17_dr25_tce,5550.0,182.0,-182.0,4.468,0.091,-0.169,0.91,0.228,-0.105,297.92365,48.777321,15.54
11242721,K00763.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,19.651209505,5.862E-6,-5.862E-6,179.401981,2.49E-4,-2.49E-4,0.723,0.01,-0.02,5.2514,0.0179,-0.0179,11766.0,27.7,-27.7,12.42,3.92,-1.69,730.0,,,67.03,62.46,-23.51,513.4,1,q1_q17_dr25_tce,6074.0,168.0,-210.0,4.391,0.09,-0.21,1.063,0.336,-0.144,291.0939,48.933842,15.536
11442465,K00768.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,33.93373447,6.154E-5,-6.154E-5,186.67608,0.00137,-0.00137,0.812,0.006,-0.009,14.561,0.104,-0.104,8503.7,44.3,-44.3,7.34,0.9,-0.6,430.0,,,8.11,3.25,-2.06,236.1,1,q1_q17_dr25_tce,5040.0,136.0,-151.0,4.628,0.03,-0.07,0.705,0.086,-0.058,284.17233,49.360722,15.716
11656840,K00774.01,,FALSE POSITIVE,FALSE POSITIVE,0.014,0,1,0,0,7.442652004,7.02E-7,-7.02E-7,169.9717797,7.32E-5,-7.32E-5,0.137,0.346,-0.224,2.3078,0.0129,-0.0129,24446.0,37.8,-37.8,15.03,4.73,-1.58,967.0,,,206.78,195.52,-61.76,835.6,1,q1_q17_dr25_tce,6108.0,183.0,-201.0,4.469,0.07,-0.21,0.956,0.301,-0.1,288.98682,49.733742,15.27
11909839,K00779.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,10.405998015,2.515E-6,-2.515E-6,177.197466,1.9E-4,-1.9E-4,0.324,0.061,-0.075,6.5036,0.0145,-0.0145,14489.0,22.4,-22.4,11.23,2.92,-1.95,833.0,,,113.94,90.01,-45.01,745.2,1,q1_q17_dr25_tce,5746.0,173.0,-173.0,4.393,0.18,-0.198,0.924,0.241,-0.16,289.23553,50.241001,15.562
3120431,K00798.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,3.341913228,9.953E-6,-9.953E-6,171.63943,0.00247,-0.00247,1.213,11.28,-0.141,3.813,0.12,-0.12,725.3,21.3,-21.3,21.55,3.54,-1.89,1032.0,,,268.67,145.91,-70.67,39.0,1,q1_q17_dr25_tce,5295.0,175.0,-159.0,4.551,0.049,-0.105,0.811,0.133,-0.071,292.31595,38.27029,15.629
3246984,K00799.01,,FALSE POSITIVE,FALSE POSITIVE,0.773,0,0,1,0,1.626630225,1.015E-6,-1.015E-6,169.820171,4.87E-4,-4.87E-4,1.26,4.827,-0.043,2.1145,0.0285,-0.0285,1620.6,19.0,-19.0,32.43,9.0,-4.83,1547.0,,,1355.88,1105.99,-486.6,103.6,1,q1_q17_dr25_tce,5735.0,155.0,-172.0,4.41,0.124,-0.186,0.973,0.27,-0.145,294.36819,38.31028,15.279
12459725,K00789.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,0,1,14.1798187,1.643E-4,-1.643E-4,171.50237,0.0076,-0.0076,0.1601,0.2975,-0.16,2.505,0.315,-0.315,459.9,51.9,-51.9,1.88,0.71,-0.14,711.0,,,60.35,67.75,-14.34,11.2,,,5799.0,161.0,-168.0,4.539,0.027,-0.275,0.878,0.333,-0.065,291.0448,51.321671,15.727
2440757,K00792.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,1.433769925,7.41E-7,-7.41E-7,170.403536,3.97E-4,-3.97E-4,1.268,5.652,-0.123,1.8868,0.0232,-0.0232,1976.3,20.4,-20.4,46.58,8.01,-8.0,1920.0,,,3209.29,1411.94,-1136.62,112.6,1,q1_q17_dr25_tce,6017.0,72.0,-90.0,4.22,0.156,-0.117,1.339,0.23,-0.23,290.84369,37.728828,15.122
2445129,K00793.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,10.31872301,2.846E-5,-2.846E-5,173.31543,0.00224,-0.00224,1.215,59.52,-0.463,3.836,0.121,-0.121,871.7,26.4,-26.4,28.59,8.61,-3.69,876.0,,,139.26,125.69,-46.77,38.2,1,q1_q17_dr25_tce,5927.0,176.0,-193.0,4.409,0.084,-0.196,1.06,0.319,-0.137,291.84891,37.713501,15.065
3114661,K00796.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,0.444291966,9.7E-8,-9.7E-8,169.865406,1.69E-4,-1.69E-4,1.258,0.334,-0.141,2.0792,0.0115,-0.0115,10967.0,45.9,-45.9,27.51,3.46,-1.73,1836.0,,,2706.26,1149.42,-599.58,299.7,1,q1_q17_dr25_tce,5255.0,156.0,-156.0,4.678,0.028,-0.083,0.636,0.08,-0.04,290.99689,38.28492,15.748
