id_estrella,clasificacion,periodo_orbital,duracion_transito,profundidad_transito,radio_planeta,indice_probabilidad_planeta,equilibrio_temperatura,radio_estrella,probabilidad_planeta
3115833,CANDIDATE,10.181584004,3.5089,5741.1,7.73,1.0,812.0,0.836,ALTO
3453214,CANDIDATE,19.620346923,2.0038,21725.0,13.6,1.0,643.0,0.905,ALTO
4544670,CANDIDATE,34.84398644,2.9315,4523.6,7.61,1.0,511.0,0.871,ALTO
6862328,CANDIDATE,119.0207044,8.1405,7430.5,8.98,1.0,366.0,1.062,ALTO
8013419,CANDIDATE,12.732624065,2.2083,6465.7,4.87,1.0,432.0,0.541,ALTO
8552202,CANDIDATE,3.886655224,3.1646,581.6,1.87,1.0,1010.0,0.738,ALTO
9140402,CANDIDATE,2.494170338,1.1221,863.7,2.42,1.0,1194.0,0.829,ALTO
8951215,CANDIDATE,39.4759093,2.968,1012.6,4.06,1.0,577.0,1.031,ALTO
2860866,CANDIDATE,90.1240507,11.649,3020.3,7.12,1.0,485.0,1.215,ALTO
10319385,CANDIDATE,0.689210173,1.6169,195.0,1.32,1.0,1943.0,0.954,ALTO
11180361,CANDIDATE,0.533059312,1.8621,1495.8,133.56,1.0,5862.0,4.051,ALTO
2853446,CANDIDATE,7.37290344,2.172,205.2,2.67,1.0,1004.0,1.07,ALTO
3942446,CANDIDATE,119.0624882,3.1188,5372.3,10.4,1.0,366.0,0.92,ALTO
8260218,CANDIDATE,5.714817603,3.14126,12295.0,9.29,1.0,943.0,0.842,ALTO
6359320,CANDIDATE,2.83668931,3.031,166.1,1.19,1.0,1242.0,0.921,ALTO
12105051,CANDIDATE,2.624234833,1.3874,2607.0,5.11,1.0,1164.0,0.899,ALTO
6837146,CANDIDATE,20.51360192,3.4769,1174.1,2.58,1.0,540.0,0.704,ALTO
6607286,CANDIDATE,0.783276173,1.6735,264.7,1.98,1.0,2149.0,1.233,ALTO
6607447,CANDIDATE,99.6442783,5.1772,3215.6,8.48,1.0,415.0,1.016,ALTO
6441738,CANDIDATE,19.03723442,3.3882,401.3,5.74,1.0,1051.0,2.892,ALTO
10928043,CANDIDATE,6.84639884,3.4919,149.7,1.9,1.0,1132.0,1.31,ALTO
8631160,CANDIDATE,162.0479502,9.8974,4840.5,11.52,1.0,437.0,1.567,ALTO
9202151,CANDIDATE,1.694740233,1.6864,1446.8,2.12,1.0,797.0,0.527,ALTO
9427402,CANDIDATE,6.247030799,1.4848,1496.6,1.89,1.0,512.0,0.487,ALTO
9100484,CANDIDATE,8.75059775,2.8288,881.9,2.27,1.0,682.0,0.779,ALTO
6719086,CANDIDATE,3.014330766,2.4747,975.3,2.87,1.0,1124.0,0.953,ALTO
11026304,CANDIDATE,13.35151248,3.6045,3308.8,4.44,1.0,585.0,0.754,ALTO
6946199,CANDIDATE,104.8205868,4.4794,3920.1,6.45,1.0,376.0,0.85,ALTO
4276716,CANDIDATE,20.6654374,3.172,100.4,0.66,1.0,487.0,0.676,ALTO
11904734,CANDIDATE,12.681733929,1.6866,5879.1,7.25,1.0,601.0,0.701,ALTO
11870545,CANDIDATE,0.839961456,1.3008,492.9,1.63,1.0,1455.0,0.718,ALTO
5031857,CANDIDATE,7.136922,2.8005,221.6,1.38,1.0,956.0,0.921,ALTO
6705142,CANDIDATE,5.59728249,1.795,1407.3,3.28,1.0,930.0,0.858,ALTO
4918309,CANDIDATE,186.4361811,5.774,4347.0,11.32,1.0,353.0,1.37,ALTO
5360920,CANDIDATE,14.62399621,2.193,1082.0,21.92,1.0,681.0,0.815,ALTO
5531953,CANDIDATE,6.93910337,2.977,614.7,1.41,1.0,445.0,0.42,ALTO
7499398,CANDIDATE,23.02028478,3.544,5077.8,7.58,1.0,604.0,0.956,ALTO
5039228,CANDIDATE,7.79668781,4.6699,361.3,2.44,1.0,1116.0,1.276,ALTO
5283458,CANDIDATE,30.69395532,2.9512,18121.0,13.72,1.0,614.0,1.018,ALTO
7750419,CANDIDATE,32.7737631,3.416,564.5,5.0,1.0,686.0,1.534,ALTO
5513648,CANDIDATE,32.85862571,3.1483,162.8,2.31,1.0,691.0,1.414,ALTO
7887791,CANDIDATE,2.229326354,1.9946,49.1,0.6,1.0,1273.0,0.865,ALTO
9634821,CANDIDATE,8.56267266,1.53,608.1,2.26,1.0,768.0,0.93,ALTO
11773328,CANDIDATE,8.710442022,0.9425,1196.4,3.61,1.0,760.0,0.809,ALTO
3248501,CANDIDATE,4.22464216,1.403,987.0,4.31,1.0,1279.0,1.14,ALTO
2579043,CANDIDATE,6.31219171,4.9377,403.7,2.17,1.0,1096.0,1.075,ALTO
3648437,CANDIDATE,17.50441726,4.2585,725.4,3.56,1.0,824.0,1.329,ALTO
5731623,CANDIDATE,3.261759866,1.7593,3876.1,8.01,1.0,1262.0,0.945,ALTO
9883311,CANDIDATE,30.5231459,2.7286,2212.3,11.26,1.0,506.0,0.79,ALTO
4242147,CANDIDATE,28.78270955,3.451,864.5,2.11,1.0,443.0,0.745,ALTO
4349442,CANDIDATE,4.539297295,1.9455,798.1,2.34,1.0,830.0,0.724,ALTO
10844890,CANDIDATE,8.29482811,2.7437,559.5,2.76,1.0,876.0,0.939,ALTO
8624520,CANDIDATE,10.240611361,0.9617,2958.0,3.9,1.0,656.0,0.64,ALTO
6300348,CANDIDATE,5.69590202,3.5661,4921.1,6.61,1.0,1043.0,0.94,ALTO
3097926,CANDIDATE,14.97974335,4.126,1211.8,3.79,1.0,620.0,0.853,ALTO
7215678,CANDIDATE,1.151244686,1.272,269.6,40.32,1.0,1756.0,0.921,ALTO
9580992,CANDIDATE,37.8034121,4.641,678.1,2.95,1.0,460.0,0.819,ALTO
11520459,CANDIDATE,8.46354384,1.4078,792.2,2.51,1.0,805.0,0.887,ALTO
7746958,CANDIDATE,1.204686597,0.823,233.2,1.55,1.0,1711.0,1.0,ALTO
8074328,CANDIDATE,4.267961416,1.3427,127.4,1.42,1.0,1371.0,1.237,ALTO
8894646,CANDIDATE,3.55557922,3.24,60.4,0.84,1.0,1270.0,1.082,ALTO
6867588,CANDIDATE,0.82628442,0.9603,134.9,0.96,1.0,1629.0,0.829,ALTO
7501646,CANDIDATE,6.37705295,1.949,502.8,2.15,1.0,935.0,0.965,ALTO
12257999,CANDIDATE,18.55581565,5.372,565.9,20.83,1.0,1793.0,8.841,ALTO
6922203,CANDIDATE,13.33094869,1.426,725.6,25.95,1.0,815.0,1.039,ALTO
9283156,CANDIDATE,5.22402436,2.608,48.1,0.58,1.0,941.0,0.84,ALTO
9574158,CANDIDATE,15.92108138,1.5443,716.8,3.14,1.0,645.0,0.82,ALTO
4047631,CANDIDATE,4.790912471,0.5134,360.7,2.25,1.0,717.0,0.676,ALTO
7446631,CANDIDATE,29.2254372,5.293,174.1,1.35,1.0,614.0,1.008,ALTO
12208631,CANDIDATE,53.3580444,6.812,736.1,3.41,1.0,474.0,1.036,ALTO
8631751,CANDIDATE,1.530515205,0.5945,659.7,0.84,1.0,608.0,0.259,ALTO
5095635,CANDIDATE,0.754457729,0.5891,248.2,2.07,1.0,2131.0,1.193,ALTO
4172013,CANDIDATE,16.2707207,5.707,468.0,28.42,1.0,827.0,1.244,ALTO
9580167,CANDIDATE,0.827151296,1.385,272.4,19.1,1.0,5171.0,11.895,ALTO
7984574,CANDIDATE,11.6191707,1.819,700.4,2.21,1.0,756.0,0.834,ALTO
11622985,CANDIDATE,18.0243482,3.575,441.2,1.98,1.0,683.0,0.91,ALTO
6467363,CANDIDATE,7.4464635,4.084,78.0,0.77,1.0,879.0,0.848,ALTO
9697131,CANDIDATE,3.09756897,4.588,83.3,1.75,1.0,1782.0,1.885,ALTO
10917043,CANDIDATE,205.385912,8.681,1248.7,2.11,1.0,200.0,0.624,ALTO
6697605,CANDIDATE,1.23935745,1.683,150.9,1.5,1.0,1583.0,0.966,ALTO
6346809,CANDIDATE,17.57704569,2.022,670.0,27.21,1.0,673.0,0.901,ALTO
11098013,CANDIDATE,7.50790041,5.646,145.0,1.77,1.0,1138.0,1.337,ALTO
3425851,CANDIDATE,110.3783828,12.211,489.8,3.02,1.0,473.0,1.359,ALTO
10397751,CANDIDATE,4.28886792,2.599,59.3,0.57,1.0,944.0,0.721,ALTO
8176564,CANDIDATE,6.57159435,3.1044,65.7,1.26,1.0,1211.0,1.432,ALTO
10604521,CANDIDATE,0.868122253,1.5471,231.3,1.65,1.0,2047.0,1.084,ALTO
10597693,CANDIDATE,31.6084371,3.675,331.6,1.89,1.0,634.0,1.033,ALTO
2985587,CANDIDATE,3.375716723,1.5436,175.7,2.34,1.0,1472.0,1.282,ALTO
11197853,CANDIDATE,0.698461304,0.7887,134.4,14.81,1.0,5173.0,12.558,ALTO
7899070,CANDIDATE,126.4451275,16.7151,3252.5,4.49,1.0,321.0,0.795,ALTO
10265602,CANDIDATE,165.3447044,3.09,4899.0,6.98,1.0,301.0,0.812,ALTO
4552729,CANDIDATE,97.4463194,6.765,2141.1,3.05,1.0,283.0,0.686,ALTO
5196864,CANDIDATE,2.50343279,1.534,1156.0,20.23,1.0,1147.0,0.84,ALTO
8639908,CANDIDATE,0.910020582,1.7956,358.1,1.12,1.0,1127.0,0.533,ALTO
11076400,CANDIDATE,1.07808492,0.8551,155.6,1.01,1.0,1417.0,0.814,ALTO
7668416,CANDIDATE,0.858546796,1.1,106.1,0.88,1.0,1671.0,0.864,ALTO
8241079,CANDIDATE,10.9192653,4.572,91.1,1.9,1.0,1107.0,1.972,ALTO
7051180,CANDIDATE,1.951082219,1.6975,1151.8,10.35,1.0,2005.0,2.426,ALTO
2446113,CANDIDATE,23.1375919,3.35,114.0,1.83,1.0,837.0,1.683,ALTO
5903749,CANDIDATE,18.9763286,2.379,329.8,2.24,1.0,638.0,0.986,ALTO
8581240,CANDIDATE,10.76800074,3.494,65.1,0.92,1.0,885.0,1.096,ALTO
8554498,CANDIDATE,4.780327581,2.0253,960.8,7.14,1.0,1441.0,1.787,ALTO
2973386,CANDIDATE,31.0209175,2.012,859.5,1.66,1.0,291.0,0.48,ALTO
9834731,CANDIDATE,3.08942807,3.214,85.3,1.07,1.0,1361.0,1.103,ALTO
4252322,CANDIDATE,14.591504451,1.1295,1490.5,36.85,1.0,879.0,1.312,ALTO
4770174,CANDIDATE,6.09595681,5.502,65.7,1.26,1.0,1259.0,1.467,ALTO
4676964,CANDIDATE,43.1024434,7.124,299.8,1.88,1.0,539.0,1.097,ALTO
11566064,CANDIDATE,152.1060435,7.4517,3688.3,11.58,1.0,458.0,1.64,ALTO
10000941,CANDIDATE,2.5738437,1.92,46.6,0.57,1.0,1129.0,0.854,ALTO
8265218,CANDIDATE,12.82993461,2.942,1417.4,3.31,1.0,734.0,0.844,ALTO
10016874,CANDIDATE,16.30141333,3.5764,942.3,3.84,1.0,805.0,1.138,ALTO
10395543,CANDIDATE,3.687469832,1.0668,5057.6,5.78,1.0,690.0,0.606,ALTO
5443837,CANDIDATE,3.65849707,2.573,4398.0,14.61,1.0,1583.0,1.822,ALTO
2832589,CANDIDATE,2.433703498,0.975,258.3,1.66,1.0,1112.0,0.778,ALTO
7199397,CANDIDATE,105.8817667,18.044,1556.3,10.16,1.0,595.0,2.499,ALTO
9703198,CANDIDATE,10.32906563,1.44,2309.8,6.17,1.0,908.0,1.049,ALTO
10221013,CANDIDATE,7.189379172,2.0351,8126.4,11.94,1.0,1026.0,1.076,ALTO
7630229,CANDIDATE,278.1243979,3.978,2297.8,5.86,1.0,286.0,1.05,ALTO
7730747,CANDIDATE,4.034914368,1.7874,800.1,6.95,1.0,1452.0,1.793,ALTO
7976520,CANDIDATE,4.17838675,2.123,316.0,3.13,1.0,1430.0,1.687,ALTO
